"","ACO","AJM","CUA","FAC","HGM","MER","SFE","TLI","VIF","XAL"
"1",14,17,32,37,39,41,31,23,14,28
"2",24,12,33,54,38,42,22,33,28,52
"3",18,12,35,51,42,55,22,50,28,32
"4",17,16,45,38,38,44,16,42,20,57
"5",37,12,27,33,38,43,12,45,25,53
"6",33,15,26,23,38,50,11,41,47,46
"7",27,9,31,21,30,44,15,40,35,46
"8",28,6,31,16,38,42,14,41,22,46
"9",30,6,30,21,37,40,15,39,28,42
"10",24,12,31,28,38,41,34,42,32,42
"11",24,17,52,31,37,40,38,40,34,37
"12",25,15,53,35,39,42,46,38,32,42
"13",25,15,48,38,48,44,39,44,35,53
"14",27,22,31,50,61,71,19,66,47,76
"15",29,47,26,53,84,97,19,79,60,86
"16",32,42,30,54,68,78,19,57,48,66
"17",18,17,20,26,54,48,19,44,33,41
"18",12,13,13,23,39,43,19,17,11,37
"19",9,14,22,39,33,24,19,12,4,27
"20",10,18,15,17,31,33,14,13,7,33
"21",10,18,17,23,30,35,18,10,5,31
"22",10,11,20,18,37,36,21,23,8,30
"23",12,10,11,19,33,37,12,23,12,44
"24",13,11,26,33,25,36,18,23,15,38
"25",19,23,34,49,29,42,30,23,18,37
"26",25,30,26,19,25,35,20,23,18,30
"27",24,24,21,10,28,35,16,23,13,24
"28",41,13,36,20,38,38,19,43,26,35
"29",21,14,38,30,55,48,18,40,32,57
"30",31,14,36,40,58,59,22,52,23,59
"31",37,12,32,30,53,59,27,33,26,57
"32",40,12,33,31,53,58,21,45,32,52
"33",31,7,27,24,50,54,22,50,38,53
"34",31,12,40,28,52,57,28,45,31,52
"35",31,14,51,40,53,59,38,47,38,56
"36",31,27,36,43,55,62,48,47,40,56
"37",31,24,44,44,57,59,47,48,39,56
"38",31,38,38,49,59,54,36,58,37,56
"39",30,35,15,85,50,50,31,68,34,51
"40",19,27,8,70,33,41,25,52,22,36
"41",16,12,24,39,25,32,23,21,14,37
"42",10,19,27,15,27,28,24,11,6,25
"43",7,22,19,13,14,20,15,9,4,15
"44",9,14,11,10,16,22,11,10,6,14
"45",11,15,14,13,16,24,12,11,7,14
"46",11,16,17,11,18,28,14,13,7,17
"47",10,12,19,13,15,28,12,14,7,21
"48",8,11,16,15,14,29,18,14,8,16
"49",15,13,14,13,18,28,12,21,21,27
"50",17,12,27,24,20,27,16,36,33,32
"51",32,12,38,42,30,39,20,29,26,41
"52",36,11,52,47,34,39,25,54,50,30
"53",28,12,42,43,34,42,23,50,41,37
"54",30,6,36,35,25,33,20,49,43,49
"55",40,6,29,35,36,44,15,46,41,56
"56",27,6,10,33,37,36,11,45,37,51
"57",21,7,8,32,34,29,14,41,34,34
"58",25,6,11,30,46,44,16,39,37,47
"59",31,7,12,35,48,49,23,39,36,49
"60",30,11,30,41,51,53,27,39,33,47
"61",27,19,24,38,41,48,35,47,36,59
"62",24,20,9,39,25,39,16,64,36,58
"63",16,19,6,40,26,32,16,60,29,46
"64",14,14,22,30,22,30,23,22,18,42
"65",10,11,18,22,14,19,14,14,6,26
"66",7,11,14,11,12,15,12,9,3,14
"67",15,12,11,11,11,17,9,6,3,12
"68",15,11,8,9,13,19,8,8,3,10
"69",15,9,10,12,11,16,8,8,4,15
"70",9,6,12,20,15,20,11,9,5,14
"71",12,7,11,15,13,26,11,13,6,21
"72",12,8,12,15,21,24,9,18,14,22
"73",11,8,10,8,18,30,10,22,12,35
"74",9,7,20,18,20,25,13,13,15,16
"75",15,19,22,23,20,23,17,11,11,15
"76",14,14,24,30,23,25,17,14,15,25
"77",16,5,36,23,18,21,27,32,24,41
"78",16,5,16,27,18,19,20,24,20,20
"79",26,6,9,21,20,23,10,28,26,20
"80",35,7,10,21,17,15,14,17,37,17
"81",27,6,11,24,18,19,18,17,33,27
"82",28,6,25,32,23,41,26,27,42,42
"83",32,10,25,38,45,53,41,49,41,51
"84",31,14,27,44,47,55,52,47,42,54
"85",30,19,36,42,47,58,35,49,45,57
"86",24,26,46,38,52,51,22,57,55,57
"87",20,33,27,38,61,53,20,43,41,68
"88",13,20,28,38,48,53,22,27,19,50
"89",9,13,26,46,41,58,31,14,7,44
"90",6,12,17,25,32,27,17,9,4,29
"91",7,13,16,20,19,19,13,6,4,17
"92",7,18,22,17,30,24,18,6,3,18
"93",9,22,16,20,27,24,13,7,4,19
"94",12,13,18,14,23,29,18,12,6,21
"95",12,14,16,14,27,36,18,18,9,27
"96",12,11,19,30,25,19,18,18,11,19
"97",16,14,18,27,23,24,16,17,17,22
"98",28,16,16,20,15,18,13,13,14,31
"99",18,16,16,12,25,28,15,32,14,28
"100",25,16,13,11,18,28,17,35,19,30
"101",15,16,20,22,29,32,19,23,16,29
"102",15,16,20,22,29,32,19,23,16,29
"103",15,16,20,22,29,32,19,23,16,29
"104",15,16,20,22,29,32,19,23,16,29
"105",15,12,12,25,47,25,30,29,19,29
"106",15,14,16,25,38,46,34,39,27,29
"107",15,23,31,37,50,54,48,35,31,29
"108",15,29,58,39,52,57,47,36,42,29
"109",15,28,54,40,50,54,43,45,31,55
"110",26,32,26,35,59,56,34,40,25,48
"111",21,32,12,40,57,60,30,36,21,52
"112",17,32,23,45,49,44,31,20,18,40
"113",11,34,23,21,37,34,22,16,10,25
"114",10,26,14,15,19,27,12,12,11,23
"115",10,16,11,13,14,20,10,8,6,20
"116",9,14,16,16,18,14,11,11,6,21
"117",9,17,20,16,17,24,14,8,5,22
"118",11,14,21,17,16,16,20,8,8,21
"119",10,16,19,17,22,18,18,11,8,19
"120",11,17,18,22,17,26,18,18,10,20
"121",12,9,13,22,18,20,13,27,17,15
"122",16,5,24,22,24,30,11,32,36,46
"123",18,6,26,22,25,32,16,39,27,47
"124",24,7,18,22,34,35,19,33,34,43
"125",23,9,17,22,43,37,20,25,17,11
"126",18,8,9,16,31,40,13,21,15,13
"127",18,7,12,12,28,27,17,23,10,16
"128",14,8,13,8,26,35,16,34,13,18
"129",13,10,10,6,23,32,11,34,13,27
"130",18,9,12,7,26,32,16,22,18,12
"131",24,10,15,20,35,31,26,35,32,16
"132",25,18,20,26,36,34,24,36,32,32
"133",22,11,15,20,31,36,15,34,27,29
"134",13,8,12,10,22,29,12,24,9,18
"135",10,9,11,11,22,29,14,23,11,25
"136",15,10,9,11,20,31,9,21,11,26
"137",7,13,10,18,24,26,10,13,6,19
"138",6,15,11,18,23,16,13,8,5,17
"139",6,15,13,12,21,18,13,6,4,15
"140",4,14,8,10,18,19,8,6,3,14
"141",6,13,11,11,14,11,8,5,4,17
"142",6,13,11,13,12,21,8,9,3,22
"143",7,13,17,15,15,23,12,10,6,24
"144",8,13,19,19,22,21,14,9,8,25
"145",8,8,22,23,20,25,12,10,9,24
"146",11,9,18,17,29,29,24,13,8,19
"147",9,23,17,12,32,25,18,15,8,15
"148",8,18,18,11,26,18,11,13,9,21
"149",8,12,11,9,20,22,11,10,9,17
"150",10,11,9,7,21,13,9,10,8,10
"151",12,11,10,8,21,19,9,14,12,20
"152",14,8,11,10,23,29,15,24,12,24
"153",20,8,23,11,22,39,14,19,8,17
"154",19,12,37,16,14,38,22,20,12,34
"155",23,12,31,26,28,40,23,32,23,36
"156",24,12,44,31,39,45,29,34,27,30
"157",23,21,35,32,37,41,24,33,29,28
"158",16,20,34,43,38,35,15,41,25,36
"159",11,27,30,43,40,35,18,36,21,38
"160",7,18,23,33,28,26,19,22,10,37
"161",6,15,25,32,15,14,22,9,7,20
"162",6,19,19,20,18,18,16,8,5,18
"163",6,14,21,10,17,23,15,8,4,14
"164",7,15,16,12,10,14,10,8,7,16
"165",7,13,16,17,13,19,13,11,5,14
"166",6,17,18,12,15,20,18,8,8,21
"167",7,20,17,13,11,25,17,11,10,23
"168",9,12,22,15,13,16,18,9,12,14
"169",8,12,17,14,15,15,12,11,13,19
"170",10,6,15,14,20,19,12,12,12,23
"171",9,5,17,19,23,23,8,11,9,28
"172",7,12,20,15,22,20,16,9,7,17
"173",10,12,11,9,15,14,10,8,6,15
"174",10,9,10,7,13,12,9,6,5,10
"175",10,7,9,10,14,10,9,7,5,10
"176",8,8,9,8,12,12,12,8,6,9
"177",15,5,15,9,12,17,9,7,3,18
"178",13,5,28,12,13,33,10,13,19,28
"179",19,6,23,15,37,46,18,30,18,32
"180",22,8,32,18,35,33,23,30,22,33
"181",18,13,17,20,33,36,19,26,21,29
"182",14,10,15,28,26,28,10,23,17,27
"183",9,12,17,22,22,26,12,19,13,19
"184",10,13,18,20,21,27,12,19,9,17
"185",7,8,14,15,21,22,12,13,6,21
"186",5,9,12,13,15,15,11,6,2,13
"187",6,11,12,10,14,12,10,5,3,9
"188",5,12,15,9,10,9,10,7,3,12
"189",6,12,13,6,12,13,9,7,5,13
"190",8,11,10,6,18,15,9,8,5,12
"191",5,14,15,6,12,17,9,9,5,11
"192",7,14,18,7,13,15,12,9,6,17
"193",6,14,16,11,11,14,17,9,8,16
"194",9,11,14,8,13,14,10,11,6,17
"195",10,17,13,11,16,15,9,9,7,15
"196",9,11,14,14,22,18,11,12,6,11
"197",6,6,18,9,21,23,13,10,7,11
"198",7,6,20,8,17,21,10,7,7,12
"199",6,8,20,8,17,17,7,7,5,12
"200",6,9,20,8,18,23,10,11,8,13
"201",7,7,20,9,22,19,13,23,7,12
"202",10,6,20,11,20,30,12,12,5,16
"203",13,9,20,19,34,39,25,17,10,29
"204",15,15,20,21,31,35,34,18,14,34
"205",13,18,20,15,31,35,23,16,13,33
"206",10,16,20,11,30,34,14,11,10,29
"207",6,14,20,15,22,34,15,12,9,21
"208",8,14,20,19,24,32,13,11,8,25
"209",6,13,20,18,22,30,11,8,4,18
"210",6,13,20,9,14,21,10,5,3,11
"211",5,11,20,7,9,11,7,6,4,8
"212",5,10,20,11,7,12,6,6,5,10
"213",5,11,20,14,13,12,8,6,3,13
"214",5,13,20,7,18,16,10,8,3,13
"215",6,13,20,9,12,19,10,8,5,13
"216",6,12,20,13,16,17,16,10,9,17
"217",8,18,20,16,20,20,23,8,9,15
"218",9,14,20,16,17,21,12,10,13,18
"219",9,10,20,12,20,22,12,14,10,21
"220",13,10,20,6,15,20,15,20,8,11
"221",6,8,20,9,14,20,14,20,10,14
"222",15,9,20,9,22,18,13,13,13,9
"223",15,9,20,8,23,14,10,11,9,10
"224",15,9,20,22,20,27,9,11,6,14
"225",15,8,20,23,19,21,8,12,5,22
"226",15,8,20,14,19,23,14,12,9,22
"227",15,9,20,18,28,31,20,22,21,26
"228",15,9,20,24,27,31,23,26,21,29
"229",15,17,20,25,31,32,17,24,14,30
"230",15,23,20,21,30,33,13,15,15,21
"231",15,22,20,19,29,28,13,16,11,20
"232",15,20,20,16,26,30,12,16,9,27
"233",15,16,20,10,19,21,8,10,5,22
"234",15,12,20,7,13,13,7,8,3,14
"235",15,10,20,10,13,14,8,5,3,10
"236",15,12,20,6,16,19,9,7,5,13
"237",15,11,20,9,14,16,14,15,7,15
"238",15,6,20,6,14,15,12,18,7,15
"239",15,6,20,11,10,13,11,18,10,21
"240",15,11,20,20,14,16,17,18,10,19
"241",15,17,20,9,14,13,13,19,12,20
"242",15,14,20,10,16,20,9,22,13,20
"243",15,9,20,7,12,16,8,20,16,13
"244",15,8,20,22,11,12,7,16,10,16
"245",15,16,20,22,29,32,19,23,16,29
"246",15,16,20,22,29,32,19,23,16,29
"247",15,16,20,22,29,32,19,23,16,29
"248",15,16,20,22,29,32,19,23,16,29
"249",15,4,20,14,21,26,9,19,17,26
"250",15,16,20,16,32,35,12,27,25,28
"251",15,21,20,24,35,33,34,30,27,35
"252",15,22,20,28,39,37,34,31,29,39
"253",15,19,20,35,38,44,29,33,35,43
"254",15,12,20,30,35,37,17,36,39,43
"255",15,6,20,20,25,26,9,35,34,43
"256",15,11,20,22,22,21,12,29,25,34
"257",15,13,20,22,23,23,14,21,16,32
"258",15,14,20,14,21,24,21,13,10,25
"259",15,14,20,13,19,18,21,10,5,21
"260",15,11,20,24,28,24,17,12,7,21
"261",15,15,20,33,23,30,14,14,11,25
"262",15,18,27,43,33,32,21,18,15,33
"263",15,14,24,39,32,46,16,29,18,33
"264",15,10,20,37,35,51,25,30,24,42
"265",15,7,26,41,34,55,12,29,16,58
"266",15,15,26,38,53,57,19,16,15,28
"267",15,26,23,22,16,18,24,10,9,18
"268",15,16,17,15,15,18,19,9,7,21
"269",15,16,16,11,21,25,17,13,7,15
"270",9,16,13,9,24,30,21,15,8,13
"271",15,17,16,8,16,27,17,21,13,21
"272",15,11,21,11,12,19,19,25,16,41
"273",19,11,24,17,19,26,14,23,21,45
"274",23,14,35,26,39,47,22,38,29,45
"275",17,18,42,33,47,52,42,36,21,48
"276",13,22,47,39,50,50,44,29,23,36
"277",19,33,32,33,36,36,36,36,22,34
"278",18,32,31,35,33,40,32,32,15,36
"279",14,30,20,39,19,24,19,19,12,27
"280",7,31,24,22,16,14,19,10,6,19
"281",5,28,28,22,15,18,19,8,6,17
"282",8,21,20,23,18,15,19,20,6,18
"283",6,18,23,22,20,21,19,24,7,24
"284",10,14,25,29,21,18,18,22,14,29
"285",13,8,19,25,17,17,14,24,19,32
"286",25,5,22,18,19,16,18,21,14,27
"287",8,11,16,21,24,30,16,25,10,14
"288",15,14,19,48,23,34,19,18,23,25
"289",36,9,20,29,34,32,19,35,39,42
"290",48,16,22,20,43,55,20,41,50,53
"291",32,15,25,28,35,50,20,36,48,57
"292",36,17,40,37,53,51,17,34,31,40
"293",35,22,35,33,56,44,31,34,19,54
"294",36,15,36,30,41,53,23,31,20,49
"295",32,9,29,28,49,51,15,43,27,51
"296",30,5,21,22,45,47,19,42,37,51
"297",28,10,40,19,42,44,19,36,31,43
"298",25,23,46,21,44,45,32,33,32,43
"299",26,16,47,30,38,45,39,37,29,47
"300",26,14,37,36,41,42,50,40,30,46
"301",27,25,33,40,50,56,30,41,32,46
